Date,KO,DIS,GE,IBM,JNJ,MRK,PG,XRX,MCD,AXP,LLY,PEP,PFE,TXN,WMT
1/10/66,8.78,9.96,110.12,164.76,11.91,17.63,20.76,444.44,,,,,,,
1/11/66,8.83,9.96,110.00,165.26,11.92,17.96,20.80,447.22,,,,,,,
1/12/66,8.75,9.86,109.54,164.51,11.94,18.36,20.83,453.35,,,,,,,
1/13/66,8.72,9.78,107.47,165.51,11.98,18.24,20.87,461.15,,,,,,,
1/14/66,8.70,9.86,108.04,164.68,12.01,18.15,20.80,470.06,,,,,,,
1/17/66,8.70,9.99,107.35,163.52,12.35,17.96,20.87,487.32,,,,,,,
1/18/66,8.89,9.94,107.47,160.53,12.54,17.96,21.10,482.03,,,,,,,
1/19/66,8.85,9.65,107.12,158.87,12.61,17.75,20.91,477.86,,,,,,,
1/20/66,8.93,9.69,107.23,160.53,12.54,17.59,20.76,478.41,,,,,,,
1/21/66,9.08,9.88,108.39,163.02,12.45,17.63,20.49,485.37,,,,,,,
1/24/66,8.90,10.03,107.58,164.01,12.52,17.69,20.83,481.20,,,,,,,
1/25/66,8.98,10.07,108.39,168.83,12.66,17.69,20.99,482.31,,,,,,,
1/26/66,8.84,10.07,108.04,168.00,12.66,17.50,21.10,483.98,,,,,,,
1/27/66,8.84,9.99,107.00,166.84,12.80,17.32,21.33,488.44,,,,,,,
1/28/66,8.94,9.86,105.62,165.01,12.80,17.26,21.37,490.11,,,,,,,
1/31/66,8.78,10.03,105.85,164.68,12.80,17.29,21.25,483.98,,,,,,,
2/1/66,8.98,9.78,103.08,163.35,12.76,17.23,21.25,476.74,,,,,,,
2/2/66,8.93,9.82,104.93,162.69,12.78,17.07,21.37,476.46,,,,,,,
2/3/66,8.80,9.82,104.93,164.76,12.80,16.86,20.95,484.54,,,,,,,
2/4/66,8.88,9.84,105.04,165.18,12.97,16.92,21.25,498.74,,,,,,,
2/7/66,8.88,9.69,104.58,166.75,13.12,16.80,21.10,507.37,,,,,,,
2/8/66,8.72,9.69,103.78,168.76,13.26,16.86,21.02,522.41,,,,,,,
2/9/66,8.76,9.92,102.97,170.12,13.63,17.11,20.95,536.61,,,,,,,
2/10/66,8.67,9.96,102.97,171.70,13.69,17.87,20.95,536.89,,,,,,,
2/11/66,8.72,9.99,102.16,174.28,13.48,18.33,20.79,532.99,,,,,,,
2/14/66,8.72,9.99,102.62,172.53,13.21,18.64,20.41,534.11,,,,,,,
2/15/66,8.66,9.96,103.31,170.46,13.14,18.85,20.41,538.56,,,,,,,
2/16/66,8.65,9.80,104.93,172.12,13.31,18.70,20.41,536.06,,,,,,,
2/17/66,8.55,9.65,104.81,170.75,13.34,18.48,20.30,526.31,,,,,,,
2/18/66,8.44,9.57,104.24,170.21,13.41,18.45,20.03,520.18,,,,,,,
2/21/66,8.42,9.59,101.93,169.38,13.42,18.36,20.18,514.61,,,,,,,
2/23/66,8.42,9.49,102.62,168.38,13.33,18.30,20.07,505.70,,,,,,,
2/24/66,8.34,9.24,101.47,168.22,13.14,18.24,19.88,505.70,,,,,,,
2/25/66,8.19,9.30,101.70,170.04,13.08,18.11,19.88,515.17,,,,,,,
2/28/66,8.14,9.15,100.55,171.04,13.01,17.93,19.72,524.36,,,,,,,
3/1/66,7.93,8.99,99.74,167.72,12.42,17.56,19.11,508.31,,,,,,,
3/2/66,7.82,8.90,99.05,165.89,12.39,17.69,19.27,495.49,,,,,,,
3/3/66,7.92,8.84,99.97,167.14,12.46,17.56,19.15,506.64,,,,,,,
3/4/66,7.88,8.99,99.97,167.55,12.39,17.63,19.27,499.39,,,,,,,
3/7/66,7.87,8.82,98.24,165.23,12.11,17.50,19.00,486.57,,,,,,,
3/8/66,8.06,8.82,100.58,165.06,11.94,17.39,18.65,492.14,,,,,,,
3/9/66,8.08,8.92,100.82,168.22,12.01,17.52,19.27,502.46,,,,,,,
3/10/66,7.96,8.86,101.16,167.22,12.08,17.70,19.34,506.36,,,,,,,
3/11/66,7.97,8.80,101.74,166.06,12.05,17.39,19.27,508.59,,,,,,,
3/14/66,7.89,8.80,99.54,165.97,11.94,17.45,19.34,500.50,,,,,,,
3/15/66,7.95,8.75,100.12,165.56,11.87,17.33,19.34,496.32,,,,,,,
3/16/66,8.01,8.80,101.05,166.89,11.87,17.39,19.11,508.31,,,,,,,
3/17/66,8.08,8.75,101.98,166.06,11.94,17.79,19.27,515.00,,,,,,,
3/18/66,8.17,9.17,101.86,165.72,12.01,18.38,20.03,518.90,,,,,,,
3/21/66,8.19,9.21,102.21,169.05,12.08,18.41,19.99,531.72,,,,,,,
3/22/66,8.26,9.30,102.21,170.04,12.06,18.19,20.03,538.68,,,,,,,
3/23/66,8.37,9.21,101.63,170.04,11.87,18.28,20.18,540.08,,,,,,,
3/24/66,8.33,9.30,101.74,171.70,12.01,18.01,20.18,566.27,,,,,,,
3/25/66,8.31,9.05,101.86,174.36,12.15,18.25,20.14,566.83,,,,,,,
3/28/66,8.26,8.75,102.67,172.95,12.49,18.34,20.30,559.03,,,,,,,
3/29/66,8.33,8.80,102.44,172.37,12.60,18.38,20.41,555.68,,,,,,,
3/30/66,8.47,8.80,101.63,169.71,12.56,18.62,20.11,547.32,,,,,,,
3/31/66,8.65,8.84,101.63,171.37,12.73,18.99,20.18,548.16,,,,,,,
4/1/66,8.65,8.75,101.86,173.03,12.84,19.02,20.18,550.11,,,,,,,
4/4/66,8.60,8.86,101.05,174.03,12.90,18.87,20.11,547.32,,,,,,,
4/5/66,8.60,9.09,101.05,175.69,12.77,18.50,20.22,538.41,,,,,,,
4/6/66,8.67,9.13,100.58,176.35,12.66,18.38,20.11,556.24,,,,,,,
4/7/66,8.47,9.17,101.28,179.34,12.77,18.78,20.22,557.08,,,,,,,
4/11/66,8.34,9.21,100.70,182.70,12.84,19.17,20.22,581.32,,,,,,,
4/12/66,8.31,9.00,100.70,179.01,12.84,19.36,19.80,573.80,,,,,,,
4/13/66,8.35,9.00,101.40,180.17,12.87,19.33,19.76,572.40,,,,,,,
4/14/66,8.34,9.09,102.44,186.07,12.94,19.36,19.65,577.42,,,,,,,
4/15/66,8.55,9.67,102.79,183.66,12.97,19.33,19.65,577.70,,,,,,,
4/18/66,8.47,9.67,102.32,181.67,12.96,18.93,19.61,571.29,,,,,,,
4/19/66,8.35,9.55,103.60,181.00,12.84,18.87,19.34,576.86,,,,,,,
4/20/66,8.29,9.46,106.38,182.00,12.87,18.65,19.42,575.47,,,,,,,
4/21/66,8.31,9.25,109.52,184.32,12.92,18.62,19.03,579.93,,,,,,,
4/22/66,8.34,9.42,109.05,184.32,12.87,18.50,19.22,575.19,,,,,,,
4/25/66,8.42,9.25,108.24,179.67,12.77,18.53,18.80,572.96,,,,,,,
4/26/66,8.22,9.34,108.47,184.32,12.78,18.56,18.80,564.60,,,,,,,
4/27/66,8.24,9.46,109.40,186.32,12.85,18.53,18.95,559.03,,,,,,,
4/28/66,8.19,9.44,108.01,184.32,12.82,18.56,18.92,555.68,,,,,,,
4/29/66,8.03,9.53,106.62,185.15,12.87,18.50,19.03,562.93,,,,,,,
5/2/66,8.03,9.50,104.76,185.98,13.14,18.34,19.11,564.04,,,,,,,
5/3/66,8.06,9.30,104.88,185.07,13.03,18.50,19.34,552.90,,,,,,,
5/4/66,8.01,9.25,103.48,182.16,12.90,18.16,19.03,556.24,,,,,,,
5/5/66,7.90,9.00,103.72,178.68,12.87,17.76,18.95,537.29,,,,,,,
5/6/66,8.06,9.00,102.79,176.19,12.70,17.45,19.26,527.26,,,,,,,
5/9/66,7.97,8.75,100.24,172.78,12.60,17.24,19.30,512.49,,,,,,,
5/10/66,8.08,8.80,101.16,174.19,12.53,17.95,19.46,530.04,,,,,,,
5/11/66,8.08,8.75,101.16,176.44,12.36,17.82,19.42,528.37,,,,,,,
5/12/66,8.01,8.67,99.19,174.03,12.22,18.07,19.11,522.24,,,,,,,
5/13/66,7.95,8.75,96.99,172.37,12.01,17.58,18.92,507.75,,,,,,,
5/16/66,7.98,8.67,96.76,172.70,11.69,17.52,18.65,494.93,,,,,,,
5/17/66,7.90,8.38,95.13,171.54,11.42,17.45,18.80,468.18,,,,,,,
5/18/66,8.02,8.55,97.34,175.85,11.66,17.82,19.26,503.85,,,,,,,
5/19/66,7.90,8.55,97.45,180.40,11.73,18.01,19.26,503.85,,,,,,,
5/20/66,7.93,8.48,97.92,179.71,11.56,17.52,19.11,519.46,,,,,,,
5/23/66,7.98,8.52,96.29,183.33,11.45,18.13,19.53,538.96,,,,,,,
5/24/66,8.03,8.63,99.42,185.87,11.59,18.07,19.73,553.17,,,,,,,
5/25/66,8.01,8.67,99.31,184.88,11.85,18.44,19.80,559.03,,,,,,,
5/26/66,8.08,8.55,99.77,185.13,11.85,18.47,19.53,555.13,,,,,,,
5/27/66,8.12,8.63,98.38,184.88,11.73,18.34,19.73,566.27,,,,,,,
5/31/66,8.16,8.55,96.64,180.77,11.80,18.16,19.73,540.05,,,,,,,
6/1/66,8.10,8.59,97.80,176.90,11.86,17.95,19.80,548.42,,,,,,,
6/2/66,8.04,8.55,97.80,172.92,11.96,18.13,19.84,556.23,,,,,,,
6/3/66,8.10,8.55,97.45,171.17,12.04,18.28,19.99,555.67,,,,,,,
6/6/66,8.07,8.63,97.68,167.93,12.02,18.25,20.03,543.40,,,,,,,
6/7/66,8.01,8.59,98.52,166.44,12.00,18.27,20.07,535.59,,,,,,,
6/8/66,7.98,8.92,98.87,168.93,12.04,18.36,20.15,541.17,,,,,,,
6/9/66,8.07,9.00,99.22,173.91,12.09,18.33,20.23,557.90,,,,,,,
6/10/66,8.04,8.85,101.33,173.91,12.31,18.33,20.19,579.10,,,,,,,
6/13/66,8.13,8.81,102.49,171.92,12.31,18.45,20.30,576.87,,,,,,,
6/14/66,8.11,8.87,103.66,172.42,12.41,18.39,20.34,585.24,,,,,,,
6/15/66,7.87,8.96,104.36,170.67,12.59,18.51,20.19,583.29,,,,,,,
6/16/66,7.86,8.94,103.78,172.48,12.81,18.88,20.03,576.32,,,,,,,
6/17/66,7.82,9.10,103.89,177.90,12.88,19.34,20.07,573.80,,,,,,,
6/20/66,7.90,9.13,104.83,180.64,13.07,19.31,20.07,577.43,,,,,,,
6/21/66,7.93,9.10,104.94,180.89,13.41,19.28,20.23,581.89,,,,,,,
6/22/66,7.85,9.06,105.53,180.39,13.34,19.28,20.11,592.49,,,,,,,
6/23/66,7.90,9.15,105.06,177.40,13.33,19.01,20.11,579.10,,,,,,,
6/24/66,7.82,9.02,106.35,176.90,13.34,19.01,20.11,573.53,,,,,,,
6/27/66,7.74,8.98,106.93,174.54,12.97,19.13,19.88,559.02,,,,,,,
6/28/66,7.63,8.90,102.26,175.16,12.86,19.31,19.57,545.35,,,,,,,
6/29/66,7.65,8.85,100.63,173.48,12.79,19.07,19.57,543.40,,,,,,,
6/30/66,7.76,8.90,99.11,174.66,12.90,19.10,19.80,548.42,,,,,,,
7/1/66,7.85,8.85,99.22,176.65,12.90,18.70,19.99,559.02,,,,,,,
7/5/66,7.82,8.81,99.22,176.40,12.90,18.64,20.03,554.56,11.60,,,,,,
7/6/66,7.85,8.85,102.03,178.34,13.14,18.76,19.92,574.64,12.22,,,,,,
7/7/66,7.80,8.94,101.21,179.89,13.00,18.67,19.69,577.71,11.78,,,,,,
7/8/66,7.90,8.94,101.56,178.02,12.84,18.60,19.76,576.87,11.91,,,,,,
7/11/66,8.07,8.94,102.38,177.40,12.78,18.39,19.80,571.29,11.86,,,,,,
7/12/66,8.16,8.90,98.64,177.65,12.66,18.60,19.76,563.48,11.69,,,,,,
7/13/66,8.07,8.79,98.76,174.91,12.60,18.70,19.57,566.83,11.64,,,,,,
7/14/66,8.07,8.94,98.76,176.59,12.66,18.94,19.84,578.55,11.51,,,,,,
7/15/66,8.06,8.90,99.46,178.40,12.59,19.10,20.15,580.78,11.33,,,,,,
7/18/66,8.16,8.94,99.69,178.40,12.31,19.25,20.23,590.82,11.33,,,,,,
7/19/66,8.17,8.79,99.46,175.66,12.24,18.94,20.34,567.67,11.16,,,,,,
7/20/66,8.15,8.77,97.36,174.16,12.24,18.76,20.42,536.15,11.07,,,,,,
7/21/66,8.13,8.67,97.01,176.84,12.17,18.57,20.38,527.22,10.76,,,,,,
7/22/66,8.08,8.67,94.67,176.65,11.93,18.67,20.30,528.61,10.76,,,,,,
7/25/66,8.00,8.52,91.52,173.17,11.80,18.36,20.07,506.86,10.23,,,,,,
7/26/66,8.04,8.58,92.45,172.92,11.97,18.51,20.19,513.83,10.09,,,,,,
7/27/66,8.03,8.75,92.92,173.54,11.92,18.45,20.30,512.16,10.23,,,,,,
7/28/66,8.02,8.98,91.75,171.42,11.90,18.51,20.54,509.92,10.36,,,,,,
7/29/66,7.99,8.75,89.19,169.80,11.93,18.42,20.77,507.97,10.45,,,,,,
8/1/66,7.98,8.60,86.38,165.50,11.86,18.14,20.65,502.11,10.14,,,,,,
8/2/66,8.07,8.56,86.73,165.69,11.97,18.20,20.54,509.37,10.18,,,,,,
8/3/66,8.06,8.56,87.90,168.43,11.83,18.39,20.42,517.73,10.01,,,,,,
8/4/66,8.08,8.52,88.25,171.42,11.97,18.45,20.50,519.97,10.14,,,,,,
8/5/66,8.08,8.46,88.49,170.86,11.90,18.39,20.38,519.97,10.54,,,,,,
8/8/66,8.06,8.44,89.65,170.92,11.80,18.45,20.38,514.39,10.40,,,,,,
8/9/66,8.09,8.39,90.00,169.61,11.83,18.17,20.42,497.93,10.45,,,,,,
8/10/66,8.21,8.35,88.25,168.49,11.80,18.36,20.34,496.53,10.45,,,,,,
8/11/66,8.28,8.31,88.25,169.61,11.73,18.36,20.15,501.56,10.36,,,,,,
8/12/66,8.29,8.16,88.49,174.22,11.86,18.27,20.30,513.83,10.23,,,,,,
8/15/66,8.18,8.27,87.55,173.47,11.80,18.14,20.38,506.58,10.36,,,,,,
8/16/66,8.09,8.10,84.28,171.23,11.77,18.05,20.58,496.53,10.09,,,,,,
8/17/66,7.98,8.10,84.05,170.48,11.66,17.74,21.35,480.91,9.65,,,,,,
8/18/66,7.91,8.00,83.35,167.24,11.65,17.68,21.08,447.44,9.43,,,,,,
8/19/66,7.90,7.77,82.18,167.24,11.58,17.56,21.12,431.26,8.94,,,,,,
8/22/66,7.87,7.64,79.61,164.00,11.27,17.25,21.35,417.31,8.63,,,,,,
8/23/66,7.81,7.52,80.78,164.12,11.30,17.46,21.35,430.70,8.77,,,,,,
8/24/66,7.82,7.68,83.12,163.50,11.23,17.83,21.82,445.77,8.72,,,,,,
8/25/66,7.80,7.54,82.06,161.63,11.25,17.52,21.82,410.90,8.77,,,,,,
8/26/66,7.63,7.27,80.90,157.08,10.89,17.31,21.62,400.58,8.54,,,,,,
8/29/66,7.54,6.97,79.38,153.03,10.44,16.88,21.31,391.65,7.61,,,,,,
8/30/66,7.51,6.85,80.20,158.89,10.41,16.78,21.51,407.85,7.92,,,,,,
8/31/66,7.77,7.23,79.38,159.76,10.60,17.03,21.51,396.68,8.32,,,,,,
9/1/66,7.69,7.23,80.08,159.76,10.53,16.88,21.43,395.56,8.41,,,,,,
9/2/66,7.77,7.23,78.68,159.51,10.53,17.00,21.55,381.03,8.32,,,,,,
9/6/66,7.69,7.25,78.21,158.14,10.48,16.80,21.51,357.57,8.23,,,,,,
9/7/66,7.51,7.23,76.58,157.02,10.34,16.58,21.62,363.71,7.97,,,,,,
9/8/66,7.56,7.18,76.11,154.15,10.27,16.27,21.58,381.59,7.53,,,,,,
9/9/66,7.61,7.28,75.64,157.02,10.20,16.21,21.58,401.15,7.88,,,,,,
9/12/66,8.03,7.37,78.21,159.76,10.32,16.14,21.62,417.63,8.23,,,,,,
9/13/66,7.98,7.68,78.94,159.01,10.27,16.55,21.70,397.79,8.41,,,,,,
9/14/66,7.98,7.87,82.59,161.26,10.46,17.54,22.09,417.91,8.50,,,,,,
9/15/66,8.03,7.81,83.77,166.99,10.53,17.57,22.40,415.11,8.19,,,,,,
9/16/66,7.90,8.12,83.53,164.25,10.53,18.10,22.52,407.85,8.15,,,,,,
9/19/66,7.96,8.04,84.71,164.00,10.51,17.85,22.75,403.38,8.15,,,,,,
9/20/66,7.93,8.00,84.00,160.51,10.39,17.66,22.63,407.29,8.15,,,,,,
9/21/66,7.87,7.70,82.12,157.15,10.30,17.17,21.97,391.09,7.61,,,,,,
9/22/66,7.82,7.74,82.71,159.08,10.29,17.42,22.13,390.25,7.70,,,,,,
9/23/66,7.78,7.83,83.06,159.01,10.27,17.35,22.13,396.12,7.88,,,,,,
9/26/66,7.79,7.79,81.06,162.75,10.20,17.17,22.36,408.41,8.01,,,,,,
9/27/66,7.76,7.70,82.59,163.25,10.34,17.85,22.52,407.01,7.48,,,,,,
9/28/66,7.69,7.66,79.65,159.01,10.20,17.73,22.52,397.24,7.66,,,,,,
9/29/66,7.68,7.39,79.41,157.15,10.10,17.29,22.44,383.83,7.48,,,,,,
9/30/66,7.77,7.53,80.00,158.27,10.03,17.76,22.32,390.81,7.44,,,,,,
10/3/66,7.76,7.39,78.59,154.96,9.77,17.29,22.36,369.02,7.13,,,,,,
10/4/66,7.91,7.28,80.24,154.28,9.72,17.38,22.32,367.62,6.82,,,,,,
10/5/66,7.79,7.28,79.77,154.53,9.64,17.26,22.13,336.34,6.82,,,,,,
10/6/66,7.64,7.16,79.41,152.16,9.73,17.17,22.28,319.58,6.64,,,,,,
10/7/66,7.61,6.87,80.35,145.87,9.72,16.70,22.28,295.83,6.82,,,,,,
10/10/66,7.72,6.99,82.12,154.15,9.92,16.98,22.36,321.53,6.91,,,,,,
10/11/66,7.57,7.03,82.47,152.04,9.99,16.92,22.83,310.36,7.35,,,,,,
10/12/66,7.79,7.37,84.12,156.02,9.99,17.54,23.25,332.99,7.79,,,,,,
10/13/66,7.87,7.53,83.41,158.02,10.10,17.57,23.25,347.51,7.53,,,,,,
10/14/66,7.93,7.45,81.88,157.52,10.20,17.38,23.14,354.22,7.53,,,,,,
10/17/66,7.98,7.58,83.41,157.77,10.20,17.57,23.25,362.60,7.61,,,,,,
10/18/66,8.39,7.79,86.94,162.01,10.32,17.48,23.57,382.15,7.79,,,,,,
10/19/66,8.34,7.87,87.53,158.27,10.56,17.35,23.53,373.49,7.79,,,,,,
10/20/66,8.34,7.70,86.94,158.77,10.56,17.17,23.18,357.57,7.79,,,,,,
10/21/66,8.45,7.66,87.53,160.51,10.56,17.17,23.57,357.57,7.70,,,,,,
10/24/66,8.66,7.91,88.71,160.51,10.48,17.73,23.45,348.07,7.70,,,,,,
10/25/66,8.64,8.08,88.00,164.25,10.41,17.79,23.37,359.24,7.53,,,,,,
10/26/66,8.62,8.50,89.53,164.25,10.41,17.91,23.37,363.15,7.44,,,,,,
10/27/66,8.55,8.79,90.24,165.99,10.82,17.88,23.61,358.41,7.22,,,,,,
10/28/66,8.56,9.21,89.41,166.93,11.03,18.31,23.49,356.45,7.04,,,,,,
10/31/66,8.59,9.04,89.77,165.49,11.13,18.22,23.45,362.04,7.08,,,,,,
11/1/66,8.68,8.92,90.82,169.48,11.23,18.44,23.61,380.47,7.08,,,,,,
11/2/66,8.76,9.21,91.41,171.73,11.42,18.44,23.76,372.09,6.99,,,,,,
11/3/66,8.71,9.21,91.18,171.53,11.54,18.75,23.53,378.80,6.77,,,,,,
11/4/66,8.76,9.15,91.29,172.78,11.73,18.84,23.29,397.24,6.99,,,,,,
11/7/66,8.66,8.94,90.12,174.02,11.72,19.34,23.41,392.21,7.04,,,,,,
11/9/66,8.67,9.38,90.35,174.27,11.72,19.58,23.57,404.22,6.99,,,,,,
11/10/66,8.89,9.65,90.82,175.77,11.79,19.58,23.45,408.69,7.08,,,,,,
11/11/66,8.81,10.32,92.47,175.52,11.77,19.71,23.25,405.62,7.13,,,,,,
11/14/66,8.81,10.80,91.53,174.27,11.77,19.27,22.86,400.59,7.17,,,,,,
11/15/66,8.79,11.39,91.88,175.77,11.72,19.83,22.71,413.16,7.61,,,,,,
11/16/66,8.92,11.01,91.29,178.76,11.72,19.31,22.86,426.85,8.23,,,,,,
11/17/66,8.89,10.72,91.65,178.01,11.60,19.27,22.75,418.19,8.23,,,,,,
11/18/66,9.02,10.72,91.77,177.02,11.66,19.27,22.90,412.32,8.01,,,,,,
11/21/66,8.73,10.63,90.94,173.53,11.51,19.03,22.98,405.06,8.01,,,,,,
11/22/66,8.76,10.76,91.77,173.53,11.51,19.03,22.94,412.32,7.75,,,,,,
11/23/66,8.97,10.97,91.29,177.52,11.45,19.15,22.94,426.57,7.48,,,,,,
11/25/66,8.97,10.98,91.53,182.63,11.33,19.24,22.90,445.84,7.39,,,,,,
11/28/66,9.00,10.73,93.53,184.75,11.50,19.12,23.06,443.05,7.26,,,,,,
11/29/66,9.02,10.73,92.24,185.99,11.60,19.24,23.06,441.93,7.13,,,,,,
11/30/66,9.02,10.86,92.24,187.49,11.67,19.72,22.98,458.71,7.22,,,,,,
12/1/66,8.91,10.98,92.35,184.56,11.81,19.41,23.02,450.04,7.84,,,,,,
12/2/66,8.91,11.13,92.59,183.00,11.78,19.35,23.14,445.29,7.79,,,,,,
12/5/66,8.91,11.49,94.00,185.62,11.78,19.66,23.06,448.08,7.79,,,,,,
12/6/66,9.00,11.78,93.55,187.36,11.81,19.85,23.41,463.19,7.88,,,,,,
12/7/66,9.04,11.74,92.84,190.23,11.88,19.97,23.18,479.69,8.19,,,,,,
12/8/66,9.12,11.68,93.31,190.98,11.98,20.16,23.02,476.33,8.50,,,,,,
12/9/66,9.20,11.57,92.37,187.74,12.09,19.91,23.14,480.53,8.41,,,,,,
12/12/66,9.44,11.86,92.84,189.98,12.12,20.04,22.94,496.75,9.39,,,,,,
12/13/66,9.40,11.49,91.89,190.60,12.22,19.79,22.90,492.28,9.52,,,,,,
12/14/66,9.38,11.40,91.77,190.23,12.36,19.60,23.02,492.84,9.78,,,,,,
12/15/66,9.36,11.57,89.52,185.99,12.38,19.29,23.18,474.66,9.96,,,,,,
12/16/66,9.33,13.14,88.58,185.12,12.26,19.29,23.10,473.26,10.27,,,,,,
12/19/66,9.44,13.00,85.14,184.50,12.41,19.16,23.37,466.54,10.63,,,,,,
12/20/66,9.44,12.60,84.08,185.99,12.41,19.04,23.25,458.15,10.67,,,,,,
12/21/66,9.57,13.00,83.72,185.49,12.38,19.01,23.41,459.83,10.01,,,,,,
12/22/66,9.62,13.71,83.25,184.25,12.36,19.10,23.29,459.83,10.36,,,,,,
12/23/66,9.54,14.02,81.83,183.25,12.40,19.19,22.67,457.31,10.14,,,,,,
12/27/66,9.46,13.65,81.12,182.38,12.36,19.10,22.86,454.24,9.56,,,,,,
12/28/66,9.54,13.08,81.71,183.00,12.19,19.22,22.75,449.48,9.52,,,,,,
12/29/66,9.44,13.16,83.72,184.00,12.09,19.16,22.71,438.57,9.87,,,,,,
12/30/66,9.40,13.29,83.84,185.24,11.81,19.16,22.82,441.93,10.01,,,,,,
1/3/67,9.38,12.89,84.31,184.00,11.67,18.79,22.28,445.29,10.45,,,,,,
1/4/67,9.20,12.79,84.55,182.00,11.46,18.73,21.85,462.07,10.45,,,,,,
1/5/67,9.33,13.54,84.43,183.75,11.50,18.73,22.12,473.82,10.27,,,,,,
1/6/67,9.36,13.46,83.37,188.49,11.57,19.13,22.20,481.09,10.45,,,,,,
1/9/67,9.44,13.50,81.71,192.47,11.84,19.10,22.28,492.28,10.45,,,,,,
1/10/67,9.54,13.33,81.24,193.97,11.78,18.79,22.59,488.36,10.63,,,,,,
1/11/67,9.96,13.08,81.71,196.46,11.74,18.69,22.63,507.94,10.76,,,,,,
1/12/67,9.95,13.58,82.06,195.47,11.74,18.69,23.10,504.30,11.51,,,,,,
1/13/67,9.91,13.27,82.42,197.71,11.74,18.94,23.41,505.14,11.73,,,,,,
1/16/67,9.78,14.00,82.77,191.73,11.95,19.04,23.49,500.67,11.78,,,,,,
1/17/67,9.79,14.09,84.08,193.47,12.02,19.19,23.94,508.78,12.22,,,,,,
1/18/67,9.80,14.25,84.08,194.97,12.12,19.44,24.25,513.53,11.78,,,,,,
1/19/67,9.86,14.93,83.96,194.34,12.10,19.22,23.86,507.94,11.86,,,,,,
1/20/67,9.91,15.43,84.08,194.47,12.09,18.91,24.33,504.02,11.91,,,,,,
1/23/67,9.90,15.30,84.08,198.21,12.12,18.88,24.57,502.91,11.95,,,,,,
1/24/67,9.83,15.26,82.89,199.21,12.81,19.35,24.29,504.58,12.00,,,,,,
1/25/67,9.91,14.84,83.96,197.46,12.88,19.22,24.45,496.75,11.73,,,,,,
1/26/67,9.86,14.88,84.08,197.96,12.88,18.98,24.25,498.99,11.73,,,,,,
1/27/67,9.87,14.80,84.08,200.20,12.98,19.19,24.09,501.79,12.13,,,,,,
1/30/67,9.95,14.78,83.49,201.70,13.02,19.01,24.33,525.84,12.40,,,,,,
1/31/67,9.96,14.76,83.25,199.21,13.02,19.04,24.65,517.17,12.13,,,,,,
2/1/67,9.90,14.55,83.37,195.96,12.98,18.98,24.76,525.28,12.00,,,,,,
2/2/67,9.94,14.30,84.55,197.71,13.04,19.07,24.92,530.32,11.95,,,,,,
2/3/67,9.78,14.34,85.02,198.96,13.23,18.94,25.00,547.66,13.02,,,,,,
2/6/67,9.73,14.25,85.14,198.51,13.19,18.91,24.96,542.06,13.06,,,,,,
2/7/67,9.78,14.09,84.67,198.51,13.36,18.73,24.88,538.15,13.24,,,,,,
2/8/67,9.96,13.96,84.43,204.25,13.19,18.79,24.92,551.01,13.41,,,,,,
2/9/67,9.96,13.67,82.42,206.49,13.16,18.66,25.12,546.54,13.02,,,,,,
2/10/67,9.95,13.33,83.72,206.49,13.31,18.73,25.04,542.62,13.33,,,,,,
2/13/67,10.01,12.95,82.42,209.42,13.36,18.79,25.08,539.83,13.41,,,,,,
2/14/67,9.96,13.33,82.54,213.23,13.42,18.85,25.51,544.86,13.46,,,,,,
2/15/67,10.01,13.33,82.54,215.97,13.31,19.10,25.59,553.81,13.06,,,,,,
2/16/67,10.00,13.58,81.00,212.60,13.33,19.07,25.71,544.86,13.19,,,,,,
2/17/67,10.22,13.46,80.41,211.79,13.33,19.01,25.83,543.18,13.24,,,,,,
2/20/67,10.15,13.37,78.75,211.23,13.16,19.01,25.75,541.50,13.10,,,,,,
2/21/67,10.35,13.46,78.51,211.48,13.08,19.35,25.12,538.15,13.19,,,,,,
2/23/67,10.56,13.46,81.00,210.73,13.23,19.72,25.12,543.18,13.19,,,,,,
2/24/67,10.59,13.44,81.47,211.98,13.30,19.97,25.16,550.45,13.77,,,,,,
2/27/67,10.53,13.42,81.35,207.49,13.41,19.66,24.69,552.41,13.59,,,,,,
2/28/67,10.54,13.94,81.71,214.47,13.37,19.66,24.41,557.73,13.46,,,,,,
3/1/67,10.72,14.09,81.95,219.46,13.47,19.60,24.37,570.33,13.72,,,,,,
3/2/67,10.70,14.04,83.13,220.08,13.75,19.44,24.69,576.77,13.90,,,,,,
3/3/67,10.38,14.13,83.37,219.46,13.96,19.51,24.92,595.53,14.52,,,,,,
3/6/67,10.43,14.59,82.66,219.46,14.17,19.79,25.16,597.21,14.34,,,,,,
3/7/67,10.24,14.76,83.28,218.96,14.06,20.06,25.00,597.21,14.65,,,,,,
3/8/67,10.17,14.67,84.71,217.84,14.13,20.06,25.83,603.09,15.76,,,,,,
3/9/67,10.11,14.67,86.26,217.72,14.12,20.06,25.75,603.09,15.58,,,,,,
3/10/67,10.13,14.86,86.38,219.59,14.06,20.41,25.67,597.49,15.50,,,,,,
3/13/67,10.12,14.44,86.26,219.96,14.06,20.31,25.79,587.41,14.70,,,,,,
3/14/67,9.96,14.31,86.98,216.97,14.06,20.00,25.67,582.93,14.65,,,,,,
3/15/67,10.07,14.35,88.17,220.46,14.12,19.69,25.67,594.13,14.79,,,,,,
