"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9804759537.06898","8950386612.30531","5327833129.23751","4974157579.75325","5354705603.58128","5844198432.68734","6300253203.11335","6621742394.56075","7184981696.97032","7527115893.91218","8151779326.01937","9135524003.24579","10502118179.1605","12208787869.0737","13853487621.3011","16273869612.9934","18990125434.5188","22176749550.1985","24163709283.2785","20884649142.6504","21603503566.7189","23085520248.3701","27043423649.5481","28572642912.7207","29343064966.5336","29315404012.9832","31629425029.462","35949453239.3726","38233278956.681","44365671088.179","43552758696.8095","47164867556.762","56884923384.7623","63885939646.6902","69334662220.9121","76408825661.974",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","819608596.246289","865771251.615084","895759895.268138","965408471.023302","1051852685.32295","1027086737.19805","1114970753.46851","1196252709.36585","1266931123.33869","1332498765.72596","1447217180.39871","1412500912.43845","1449186282.85275","1567598182.53133","1702588348.58569","1869648421.15724","2172230129.36688","2438910772.92014","2485553313.1158","2201706020.76089","2053740262.0976","2055053749.15776","2008004315.57078","1916318722.69576","1923668370.58425","1876287100.28153","1918178442.04757","1938005691.19943","2229888663.55951","2425768090.57419","2054603457.83519","2377570792.25983","2763086050.98533","2976085376.85854","3127445339.50755","3375742065.78572",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296685757962.007","308330911527.991","319137562500.518","338947046000.544","359200986391.002","378995834548.066","403384154791.237","426343322558.765","453770601195.903","480293766143.645","505877260697.377","533673271158.645","566921563199.126","594920232985.354","634149683390.803","667645762326.089","713538801396.708","764543805901.331","799310108426.021","877090906570.653","870350207285.626","941694925125.012","977704262344.046","1066749681955.16","1105906481907.95","1106600366019.74","1147766860944.62","1194334822507.21","1257430105896.14","1339853335919.13","1389782994669.37","1498163677059.36","1719920190001.38","1926784790365.08","1961194326932.44","1986426180337.58",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148918502923.265","159253082350.696","166292336559.966","171130733844.562","178983328210.697","187611378026.528","194413030697.316","201596567961.196","211631673691.272","219789588984.161","234105852348.313","237675761705.927","250154113650.079","259551414495.312","273912173141.677","286136493567.015","309148607379.8","325119816177.868","341570699090.85","339462059937.129","349050492029.011","370671977954.567","389098738029.221","402959936317.639","413263298435.022","428239825841.592","457782737463.172","473923403470.153","500696126093.052","535946931732.608","521841933098.152","563936272645.242","653604985280.941","678135494455.28","695456204579.909","706980122891.209",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38334014118.2304","39352985290.5636","31153331531.8102","24524768990.1722","20113882130.1029","18112406068.864","18683773489.9182","20108311464.5576","22367731970.389","24362892662.2699","27680297848.0594","31105625948.0401","34570665511.2661","38851951371.8543","43588677251.8816","57525596247.0194","79737913303.2906","102752139788.813","115824486301.407","127457981800.769","135184888966.894","135803575412.212","148678132524.431","162604723251.662","167470430285.624","145466446321.068","141837623390.756","141069643128.845","151909515454.014","167158106107.002","153047750160.236","203884098954.124","228681533164.573","240355291138.004","256564024816.801","267574997456.737",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3342761403.91998","3628488325.6012","3748659109.98746","3598053602.51115","3534131313.51743","3322459139.39502","3112622700.24358","3115954116.70807","3300644483.03041","3313543587.63878","3359566106.04694","3505834473.03598","3718625048.80585","3745638126.8011","4032281574.41145","4196140338.22574","4559718981.98836","4844567926.3762","5180297879.60642","5409640778.55783","5754285052.13045","6109356995.9024","6417733187.52282","7175699931.70619","7823061365.2092","7976716207.48418","8590112580.25924","9106376594.50655","9760479443.32744","10642824621.8774","11940929645.1974","13385338810.8296","14669668859.6991","15707609019.2112","16759504373.988","17959504405.3275",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186267645657.78","196096893219.268","203635622335.812","206457217111.656","217670116118.938","227533645375.045","231014888043.209","241636062512.265","248651104225.033","260168701709.78","284923766985.587","296186500026.332","312900377877.018","320940313361.699","334098399405.687","347658412088.972","371830762035.128","391006547520.158","405729462246.522","409248174632.69","434079898662.779","455271537460.137","471861624035.897","489497572460.263","506062503280.372","519423798559.496","548605717461.086","571670659099.524","599540192091.147","651568428663.064","647547562363.422","702925341289.82","804520212618.154","855572977229.887","880200003407.7","891759752868.981",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6264447110.28949","6749974292.87702","7107990709.07527","7701140674.52435","8024491427.32846","8688007423.65855","9229636576.49226","9927215098.11164","10436421094.3531","11149451393.7444","12069905284.4509","12999880781.8589","13814866444.5673","14572733236.1743","15627491674.9087","16393603609.1479","17565614139.8545","19121539963.7381","20444297274.1008","21047481282.9425","21753633404.593","22860459982.9645","24393778410.0812","26896876069.4006","29454694903.9928","30961687093.8936","33245555033.1574","34745526935.4768","36720416644.3096","40076293090.6914","42407309934.6404","46467947984.7692","52885260370.2827","58326126512.0785","64229021427.9139","71359402707.7169",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5192843277.29924","5855373513.10139","6002745550.47023","6357733266.10639","6578873266.45838","7100769815.47088","8027218788.56278","8681454235.74069","9420568437.71448","10260410775.6638","10690983443.3496","11654669659.6621","12350989938.6256","13577548763.9053","14567076341.4337","16325164677.6425","17880926557.571","19120436925.2906","20619182898.4096","21360854972.8401","23446574733.5728","25515102554.621","26992067760.1929","29071648205.4878","30284926912.3411","31763609326.839","36383537964.2514","40632395597.0095","42375183591.2275","46790489892.5012","51134807594.6267","54689652540.5665","59532386775.1449","63587438130.355","68316006082.688","73948093046.1302",
